Temperature,Humidity,N,P,K,Soil,Crop,Fertilizer
24.87,82.84,4,2,2.5,Clayey,rice,DAP and MOP
28.69,96.65,4,4,4,laterite,Coconut,Good NPK
20.27,81.64,4,4,2,silty clay,rice,MOP
25.07,95.02,2,2.1,3.5,sandy,Coconut,Urea and DAP
25.04,95.9,2,3.9,2.1,coastal,Coconut,Urea and MOP
20.82,84.13,2.5,4,3,clay loam,rice,Urea 
25.95,93.41,2.5,4,2,alluvial,Coconut,Urea and MOP
26.49,80.16,4.2,2.3,3.2,Clayey,rice,DAP
25.01,95.59,2,3.9,2.1,coastal,Coconut,Urea and MOP
21.87,80.19,2.9,3.5,3.9,silty clay,rice,Urea 
28.96,95.16,4,2,2.5,alluvial,Coconut,DAP and MOP
26.3,99.66,4,2,3,laterite,Coconut,DAP
27.51,94.19,4,4,4,sandy,Coconut,Good NPK
23.68,81.04,4,2,2.5,clay loam,rice,DAP and MOP
25.52,94.38,2.5,4,2,sandy,Coconut,Urea and MOP
25.79,82.11,2.2,3.5,3.9,Clayey,rice,Urea 
24.28,80.3,4,2,3,silty clay,rice,DAP
26.59,90.99,2.5,2,3,coastal,Coconut,Urea and DAP
28.11,90.02,2,2.1,3.5,laterite,Coconut,Urea and DAP
28.36,91.65,2,4,2.1,alluvial,Coconut,Urea and MOP
26.4,81.06,4,4,2,clay loam,rice,MOP
21.72,80.24,4,2,2.5,Clayey,rice,DAP and MOP
28.28,93.65,4,4,4,sandy,Coconut,Good NPK
21.97,81.9,4.2,2.3,3.2,silty clay,rice,DAP
28.97,98.1,2.2,3.5,3.9,coastal,Coconut,Urea 
27.13,95.24,4.2,2.3,3.2,laterite,Coconut,DAP
27.08,97,2.5,2,3,alluvial,Coconut,Urea and DAP
27.31,99.97,2.2,3.5,3.9,clay loam,rice,Urea 
26.53,81.42,4,4,2,Clayey,rice,MOP
20.28,82.12,2,2.1,3.5,sandy,Coconut,Urea and DAP
24.89,81.98,2.5,2,3,silty clay,rice,Urea and DAP
25.79,93.84,4,4,4,coastal,Coconut,Good NPK
29.71,96.3,4,4,1.9,alluvial,Coconut,MOP
25.1,92.36,2,3.9,2.1,laterite,Coconut,Urea and MOP
26.54,84.67,4,2,2.5,clay loam,rice,DAP and MOP
22.73,82.17,4,2,2.5,Clayey,rice,DAP and MOP
27.59,92.49,4,4,4,sandy,Coconut,Good NPK
24.53,82.74,4.2,2.3,3.2,silty clay,rice,DAP
28.48,97.77,2.5,4,2,coastal,Coconut,Urea and MOP
25.55,96.93,4,2,3,laterite,Coconut,DAP
28.88,95.11,2,2.1,3.5,alluvial,Coconut,Urea and DAP
26.09,80.38,4,4,4,clay loam,rice,Good NPK
20.13,81.6,4,4,2,Clayey,rice,MOP
28.39,99.19,2,2.1,3.5,sandy,Coconut,Urea and DAP
23.43,83.06,4,2,2.5,silty clay,rice,DAP and MOP
24.96,84.48,4.2,2.3,3.2,coastal,Coconut,DAP
27.54,94.59,4,4,4,laterite,Coconut,Good NPK
27.57,94.9,2,3.9,2.1,alluvial,Coconut,Urea and MOP
29.87,91.15,4,4,4,clay loam,rice,Good NPK
21.77,80.32,2.9,3.5,3.9,Clayey,rice,Urea 
27.06,91.11,4,2,3,sandy,Coconut,DAP
23.79,80.42,2.5,4,3,silty clay,rice,Urea 
28.13,95.65,2,2.1,3.5,coastal,Coconut,Urea and DAP
27.31,99.97,2.2,3.5,3.9,laterite,Coconut,Urea 
29.29,91.96,2,2.1,3.5,alluvial,Coconut,Urea and DAP
26.29,84.57,2.2,3.5,3.9,clay loam,rice,Urea 
25.76,83.52,4,2,2.5,Clayey,rice,DAP and MOP
27.64,99.35,4,4,4,sandy,Coconut,Good NPK
22.68,83.73,4,2,2.5,silty clay,rice,DAP and MOP
28.74,93.4,2,4,2.1,coastal,Coconut,Urea and MOP
26.61,96.97,4,2,2.5,laterite,Coconut,DAP and MOP
25.76,94.66,2.5,2,3,alluvial,Coconut,Urea and DAP
26.92,91.2,4,4,4,clay loam,rice,Good NPK
23.98,81.45,4,4,2,Clayey,rice,MOP
28.06,98.37,2,3.9,2.1,sandy,Coconut,Urea and MOP
22.68,83.46,4,2,2.5,silty clay,rice,DAP and MOP
25.85,90.93,4,4,4,coastal,Coconut,Good NPK
27.19,92.2,2.5,2,3,laterite,Coconut,Urea and DAP
26.45,93.45,2.2,3.5,3.9,alluvial,Coconut,Urea 
23.36,83.6,2.5,4,2,clay loam,rice,Urea and MOP
29.13,91.31,4,4,4,sandy,Coconut,Good NPK
20.41,82.21,4,4,2,Clayey,rice,MOP
25.6,80.15,4,4,2,silty clay,rice,MOP
29.7,95.21,2,2.1,3.5,coastal,Coconut,Urea and DAP
28.3,95.41,2,3.9,2.1,laterite,Coconut,DAP and MOP
23.86,82.23,2,4,2.1,alluvial,Coconut,Urea and MOP
26.93,81.91,2.2,3.5,3.9,clay loam,rice,Urea 
26.92,99.85,2.5,4,3,sandy,Coconut,Urea 
20.28,82.89,4,4,2,Clayey,rice,MOP
29.26,95.11,4.2,2.3,3.2,silty clay,rice,DAP
27.8,99.65,4,2,3,coastal,Coconut,DAP
27.01,96.46,4,2,2.5,laterite,Coconut,DAP and MOP
25.07,93.31,2,3.9,2.1,alluvial,Coconut,Urea and MOP
26.04,84.97,2.5,4,2,clay loam,rice,Urea and MOP
27.1,93.7,4,4,4,sandy,Coconut,Good NPK
20.88,82,2.5,4,3,Clayey,rice,Urea 
21.14,80.34,2.5,4,3,silty clay,rice,Urea 
28.83,92.17,4,4,4,coastal,Coconut,Good NPK
27.75,95.95,2.5,4,3,laterite,Coconut,Urea 
26.14,93.28,4,4,4,clay loam,rice,Good NPK
29.18,92.73,2.5,4,2,alluvial,Coconut,Urea and MOP
26.38,91.5,2,2.1,3.5,sandy,Coconut,Urea and DAP
28.27,96.94,4,2,2.5,Clayey,rice,DAP and MOP
26.58,95.79,4,4,2.1,coastal,Coconut,MOP
26.31,82.37,4,2,2.5,silty clay,rice,DAP and MOP
24.01,82.06,2,4,2.1,laterite,Coconut,Urea and MOP
26.73,81.79,4.2,2.3,3.2,clay loam,rice,DAP
28.44,95.88,4,4,2,sandy,Coconut,MOP
21.33,80.47,4.2,2.3,3.2,Clayey,rice,DAP
25.95,94.74,2,4,2.1,coastal,Coconut,Urea and MOP
22.78,82.07,4.2,2.3,3.2,silty clay,rice,DAP
29.03,90.79,2,2.1,3.5,laterite,Coconut,Urea and DAP
25.61,94.31,2.5,2,3,alluvial,Coconut,Urea and DAP
22.23,81.86,4,2,3,clay loam,rice,DAP
28.99,90.74,4,4,4,sandy,Coconut,Good NPK
24.9,80.53,4,2,3,Clayey,rice,DAP
27.15,91.49,2.5,4,3,coastal,Coconut,Urea 
25.08,80.52,4.2,2.3,3.2,silty clay,rice,DAP
25.57,97.61,4,4,4,laterite,Coconut,Good NPK
25.28,80.54,2,4,2.1,clay loam,rice,Urea and MOP
27.56,99.98,4,4,2,sandy,Coconut,MOP
21.32,83,2.5,4,3,Clayey,rice,Urea 
25.52,94.33,4,4,2.2,coastal,Coconut,MOP
24.53,80.54,4.2,2.3,3.2,silty clay,rice,DAP
22.09,83.47,4,4,4,clay loam,rice,Good NPK
26.76,92.86,2,4,2.1,laterite,Coconut,Urea and MOP
27.46,92.91,2,3.9,2.1,coastal,Coconut,Urea and MOP
25.43,82.95,4,4,4,silty clay,rice,Good NPK
23.84,83.88,2.5,2,3,clay loam,rice,Urea and DAP
28.84,99.64,2,3.9,2.1,laterite,Coconut,Urea and MOP
29.18,90.27,2.2,3.5,3.9,Clayey,rice,Urea 
26.93,98.8,4.2,2.3,3.2,sandy,Coconut,DAP
29.52,92.56,4,4,4,coastal,Coconut,Good NPK
21.67,80.71,2,2.1,3.5,silty clay,rice,Urea and DAP
23.84,83.88,2.5,2,3,clay loam,rice,Urea and DAP
28.44,91.81,4,4,4,sandy,Coconut,Good NPK
25.49,81.41,4,2,2.5,Clayey,rice,DAP and MOP
26.14,96.39,4,4,2.3,coastal,Coconut,MOP
22.3,80.64,2,4,2.1,silty clay,rice,Urea and MOP
26.8,82.15,2.5,2,3,sandy,Coconut,Urea and DAP
24.46,82.75,2,4,2.1,coastal,Coconut,Urea and MOP
23.06,83.37,2.5,4,3,Clayey,rice,Urea 
26.36,84.04,4,2,3,silty clay,rice,DAP
23.64,80.29,2.5,2,3,Clayey,rice,Urea and DAP
22.18,80.33,2,2.1,3.5,coastal,Coconut,Urea and DAP
20.05,80.35,2.5,4,2,silty clay,rice,Urea and MOP
26.11,91.52,2.5,2,3,sandy,Coconut,Urea and DAP
25.03,91.54,4,2,2.5,sandy,Coconut,DAP and MOP
25.55,91.64,2.5,2,3,coastal,Coconut,Urea and DAP
24.98,83.89,4,4,4,Clayey,rice,Good NPK
20.78,84.5,2.5,4,2,silty clay,rice,Urea and MOP
29.53,91.91,4,2,2.5,Clayey,rice,Good NPK
28.94,93,4,4,2.5,sandy,Coconut,MOP
29.38,93.28,2.5,2,3,coastal,Coconut,Urea and DAP
23.24,84.59,2.5,2,3,silty clay,rice,Urea and DAP
26.53,80.12,2,2.1,3.5,Clayey,rice,Urea and DAP
24.64,80.41,2.5,4,2,silty clay,rice,Urea and MOP
29.57,91.41,2.5,2,3,coastal,Coconut,Urea and DAP
26.52,98.38,4,4,4,sandy,Coconut,Good NPK
26.31,98.62,4,2,2.5,coastal,Coconut,DAP and MOP
26.46,83.86,4,2,3,Clayey,rice,DAP
25.74,83.88,2.5,2,3,silty clay,rice,Urea and DAP
28.29,97,4,4,4,sandy,Coconut,Good NPK
25.39,98.09,2,2.1,3.5,coastal,Coconut,Urea and DAP
23.45,84.79,2.5,4,2,silty clay,rice,Urea and MOP
22.71,82.64,2.2,3.5,3.9,Clayey,rice,Urea 
23.43,80.57,2,2.1,3.5,Clayey,rice,Urea and DAP
25.67,80.66,2,4,2,silty clay,rice,Urea and MOP
26.51,94.48,4,4,4,sandy,Coconut,Good NPK
26,94.8,2,3.9,2.1,coastal,Coconut,Urea and MOP
26.45,98.3,4,4,4,coastal,Coconut,Good NPK
29.01,94.01,4,4,2,sandy,Coconut,MOP
21.45,84.94,2.5,2,3,silty clay,rice,Urea and DAP
20.62,83.77,4,4,4,Clayey,rice,Good NPK
26.8,80.89,2.5,4,2,Clayey,rice,Urea and MOP
21.95,80.97,2,4,2.1,silty clay,rice,Urea and MOP
27.64,95.49,4,4,4,sandy,Coconut,Good NPK
29.7,95.66,4,4,4,coastal,Coconut,Good NPK
21.84,80.73,4,4,4,Clayey,rice,Good NPK
26.76,81.18,4.2,2.3,3.2,silty clay,rice,DAP
26.87,91.73,4,4,4,coastal,Coconut,Good NPK
28.03,95.02,2,4,2.1,sandy,Coconut,Urea and MOP
29.2,95.67,4,4,4,sandy,Coconut,Good NPK
23.48,81.33,2,2.1,3.5,silty clay,rice,Urea and DAP
26.88,81.46,2,2.1,3.5,coastal,Coconut,Urea and DAP
21.53,82.14,2.5,4,3,Clayey,rice,Urea 
21.59,82.79,4.2,2.3,3.2,silty clay,rice,DAP
22.7,82.81,4.2,2.3,3.2,Clayey,rice,DAP
28.57,95.68,4.2,2.3,3.2,sandy,Coconut,DAP
21.02,82.95,2.5,2,3,silty clay,rice,Urea and DAP
23.22,83.03,2,4,2.1,Clayey,rice,Urea and MOP
27.02,95.72,2,3.9,2.1,sandy,Coconut,Urea and MOP
23,82.32,4,2,3,Clayey,rice,DAP
21.05,82.68,2.5,2,3,silty clay,rice,Urea and DAP
27.02,95.72,2,3.9,2.1,sandy,Coconut,Urea and MOP
24.44,82.45,2.5,2,3,Clayey,rice,Urea and DAP
25.16,83.12,2.5,4,2,silty clay,rice,Urea and MOP
27.15,96.66,2.5,2,3,sandy,Coconut,Urea and DAP
23.86,83.15,4.2,2.3,3.2,silty clay,rice,DAP
20.08,83.29,2.5,4,2,Clayey,rice,Urea and MOP
26.07,96.7,2,3.9,2.1,sandy,Coconut,Urea and MOP
26.19,96.97,4.2,2.3,3.2,sandy,Coconut,DAP
21.41,83.33,2.2,3.5,3.9,Clayey,rice,Urea 
25.63,83.53,2.5,4,2,silty clay,rice,Urea and MOP
24.52,83.54,2.5,4,2,Clayey,rice,Urea and MOP
23.58,83.59,4,2,3,silty clay,rice,DAP
25.66,83.47,2,3.9,2.1,Clayey,rice,Urea and MOP
24.17,83.73,2,2.1,3.5,silty clay,rice,Urea and DAP
26.23,83.84,4.2,2.3,3.2,silty clay,rice,DAP
23.83,84.81,2.5,4,2,silty clay,rice,Urea and MOP
26,52,37,0,0,Sandy,Maize,Urea
29,52,12,36,0,Loamy,Sugarcane,DAP
34,65,7,30,9,Black,Cotton,14-35-14
32,62,22,20,0,Red,Tobacco,28-28
28,54,35,0,0,Clayey,Paddy,Urea
26,52,12,13,10,Sandy,Barley,17-17-17
25,50,9,10,0,Red,Cotton,20-20
33,64,41,0,0,Loamy,Wheat,Urea
30,60,21,18,0,Sandy,Millets,28-28
29,58,9,30,7,Black,Oil seeds,14-35-14
27,54,13,40,0,Clayey,Pulses,DAP
31,62,14,12,15,Sandy,Maize,17-17-17
25,50,36,0,0,Loamy,Cotton,Urea
32,62,24,22,0,Clayey,Paddy,28-28
26,52,14,41,0,Red,Ground Nuts,DAP
31,62,10,14,13,Black,Sugarcane,17-17-17
33,64,38,0,0,Clayey,Pulses,Urea
25,50,21,19,0,Sandy,Barley,28-28
28,54,39,0,0,Black,Cotton,Urea
29,58,13,36,0,Loamy,Wheat,DAP
30,60,10,9,0,Sandy,Millets,20-20
34,65,12,12,14,Loamy,Sugarcane,17-17-17
35,68,11,37,0,Red,Tobacco,DAP
28,54,36,0,0,Black,Millets,Urea
33,64,13,10,0,Clayey,Paddy,20-20
26,52,23,20,0,Sandy,Maize,28-28
30,60,9,29,9,Red,Cotton,14-35-14
32,62,38,0,0,Loamy,Sugarcane,Urea
37,70,12,39,0,Black,Oil seeds,DAP
26,52,14,13,0,Clayey,Pulses,20-20
29,58,24,23,0,Red,Ground Nuts,28-28
30,60,12,40,0,Loamy,Sugarcane,DAP
34,65,39,0,0,Clayey,Paddy,Urea
36,68,7,30,9,Sandy,Barley,14-35-14
26,52,23,19,0,Loamy,Wheat,28-28
28,54,41,0,0,Black,Millets,Urea
30,60,8,31,10,Loamy,Cotton,14-35-14
37,70,12,41,0,Clayey,Paddy,DAP
25,50,15,11,14,Red,Ground Nuts,17-17-17
29,58,15,37,0,Sandy,Millets,DAP
27,54,13,13,0,Clayey,Pulses,20-20
30,60,10,32,7,Loamy,Sugarcane,14-35-14
32,62,22,24,0,Red,Tobacco,28-28
34,65,35,0,0,Black,Sugarcane,Urea
35,67,10,35,0,Sandy,Barley,DAP
38,70,8,28,8,Loamy,Wheat,14-35-14
26,52,12,8,0,Black,Oil seeds,20-20
29,58,24,18,0,Clayey,Paddy,28-28
30,60,41,0,0,Red,Ground Nuts,Urea
33,64,5,29,9,Sandy,Maize,14-35-14
34,65,23,21,0,Red,Tobacco,28-28
36,68,13,14,0,Black,Oil seeds,20-20
28,54,40,0,0,Clayey,Pulses,Urea
30,60,12,42,0,Sandy,Barley,DAP
31,62,11,15,12,Red,Cotton,17-17-17
27,53,23,24,0,Black,Millets,28-28
34,65,38,0,0,Loamy,Wheat,Urea
29,58,8,15,0,Sandy,Millets,20-20
25,50,11,15,13,Loamy,Sugarcane,17-17-17
32,62,15,37,0,Red,Ground Nuts,DAP
28,54,36,0,0,Clayey,Paddy,Urea
30,60,13,9,0,Loamy,Wheat,20-20
34,65,24,20,0,Black,Cotton,28-28
28,54,5,15,18,Sandy,Barley,10-26-26
27,53,37,0,0,Black,Oil seeds,Urea
36,68,15,40,0,Red,Cotton,DAP
34,65,9,13,0,Black,Sugarcane,20-20
29,58,8,33,8,Loamy,Sugarcane,14-35-14
25,50,6,16,19,Clayey,Pulses,10-26-26
30,60,10,14,0,Sandy,Millets,20-20
26,52,21,23,0,Clayey,Pulses,28-28
31,62,39,0,0,Red,Tobacco,Urea
34,65,23,19,0,Loamy,Wheat,28-28
27,53,42,0,0,Black,Oil seeds,Urea
33,64,13,39,0,Red,Ground Nuts,DAP
29,58,9,22,10,Clayey,Paddy,14-35-14
30,60,22,21,0,Sandy,Maize,28-28
27,53,10,15,0,Loamy,Sugarcane,20-20
26,52,7,20,16,Clayey,Pulses,10-26-26
34,65,14,38,0,Red,Cotton,DAP
28,54,10,29,8,Clayey,Paddy,14-35-14
30,60,41,0,0,Sandy,Millets,Urea
29,58,14,35,0,Black,Cotton,DAP
26,52,11,9,0,Loamy,Sugarcane,20-20
31,62,21,28,0,Sandy,Barley,28-28
35,67,8,31,7,Clayey,Pulses,14-35-14
29,58,13,16,17,Red,Tobacco,10-26-26
27,53,35,0,0,Black,Millets,Urea
36,68,12,19,18,Loamy,Wheat,10-26-26
29,58,11,38,0,Loamy,Cotton,DAP
30,60,8,30,9,Black,Oil seeds,14-35-14
34,65,6,21,19,Clayey,Paddy,10-26-26
36,68,41,0,0,Red,Ground Nuts,Urea
28,54,9,30,10,Sandy,Maize,14-35-14
25,50,24,19,0,Clayey,Pulses,28-28
30,60,4,17,17,Red,Tobacco,10-26-26
38,72,39,0,0,Loamy,Wheat,Urea
36,60,15,41,0,Sandy,Millets,DAP
29,58,12,10,0,Black,Sugarcane,20-20
